Timestamp,Central America,Africa,Middle East,Oceania,South America,Russia,Asia,Europe,North America
2024-06-13 18:00:00,73,136,929,179,1466,1757,4150,8546,5165
2024-06-13 18:10:00,75,137,929,181,1466,1757,3943,8572,5195
2024-06-13 18:20:00,75,137,932,181,1461,1752,3757,8569,5195
2024-06-13 18:30:00,75,135,932,174,1461,1738,3571,8569,5195
2024-06-13 18:40:00,75,131,936,169,1462,1729,3377,8547,5244
2024-06-13 18:50:00,75,129,934,167,1462,1688,3205,8437,5271
2024-06-13 19:00:00,75,125,934,166,1459,1651,3035,8346,5303
2024-06-13 19:10:00,74,122,921,166,1459,1622,2927,8248,5376
2024-06-13 19:20:00,73,122,918,159,1481,1612,2802,8162,5422
2024-06-13 19:30:00,72,122,902,159,1501,1561,2656,8011,5514
2024-06-13 19:40:00,72,120,902,156,1525,1524,2551,7903,5566
2024-06-13 19:50:00,74,118,877,154,1540,1474,2430,7767,5684
2024-06-13 20:00:00,76,113,871,154,1561,1433,2317,7536,5697
2024-06-13 20:10:00,77,113,858,154,1578,1383,2217,7322,5760
2024-06-13 20:20:00,79,111,847,154,1579,1335,2115,7219,5869
2024-06-13 20:30:00,79,109,839,159,1616,1303,2056,6975,5964
2024-06-13 20:40:00,79,107,839,162,1660,1228,1969,6747,6031
2024-06-13 20:50:00,81,103,812,162,1701,1190,1879,6479,6124
2024-06-13 21:00:00,82,100,801,169,1742,1153,1825,6137,6191
2024-06-13 21:10:00,85,97,801,172,1822,1093,1762,5909,6292
2024-06-13 21:20:00,85,94,781,172,1878,1048,1685,5587,6516
2024-06-13 21:30:00,85,92,774,175,1923,990,1631,5295,6570
2024-06-13 21:40:00,85,87,744,178,1994,946,1568,5044,6721
2024-06-13 21:50:00,85,87,727,180,2021,903,1503,4737,6778
2024-06-13 22:00:00,86,85,726,189,2058,864,1481,4538,6911
2024-06-13 22:10:00,89,85,707,195,2068,809,1444,4299,6960
2024-06-13 22:20:00,89,82,697,206,2123,782,1439,4064,7015
2024-06-13 22:30:00,89,80,673,220,2165,759,1430,3816,7174
2024-06-13 22:40:00,91,78,659,227,2165,721,1420,3557,7216
2024-06-13 22:50:00,91,76,643,230,2172,677,1425,3341,7335
2024-06-13 23:00:00,92,75,625,239,2199,635,1425,3122,7431
2024-06-13 23:10:00,93,73,614,247,2210,599,1442,2935,7483
2024-06-13 23:20:00,97,68,581,258,2210,576,1497,2751,7498
2024-06-13 23:30:00,99,66,568,265,2209,556,1537,2617,7633
2024-06-13 23:40:00,99,66,558,275,2209,528,1622,2471,7648
2024-06-13 23:50:00,101,65,533,280,2209,514,1751,2307,7743
2024-06-14 00:00:00,104,65,533,286,2212,514,1866,2201,7779
2024-06-14 00:10:00,104,65,551,303,2303,528,2111,2201,7915
2024-06-14 00:20:00,105,65,563,321,2414,561,2506,2170,8060
2024-06-14 00:30:00,103,63,563,323,2414,561,2637,2052,8118
2024-06-14 00:40:00,105,63,543,327,2342,511,2761,1960,8118
2024-06-14 00:50:00,105,62,518,328,2261,486,2940,1855,8132
2024-06-14 01:00:00,106,61,504,335,2237,463,3094,1760,8132
2024-06-14 01:10:00,105,58,489,337,2203,444,3257,1680,8117
2024-06-14 01:20:00,106,58,473,340,2175,429,3430,1626,8117
2024-06-14 01:30:00,102,56,457,340,2141,419,3590,1540,8117
2024-06-14 01:40:00,97,55,448,342,2077,413,3751,1484,8115
2024-06-14 01:50:00,97,54,436,359,2047,400,3930,1418,8094
2024-06-14 02:00:00,98,54,413,368,1975,398,4122,1371,8032
2024-06-14 02:10:00,99,54,394,371,1901,396,4367,1326,7979
2024-06-14 02:20:00,99,51,382,378,1851,395,4559,1275,7919
2024-06-14 02:30:00,99,49,370,380,1808,378,4746,1231,7813
2024-06-14 02:40:00,95,49,362,382,1749,378,4897,1206,7767
2024-06-14 02:50:00,95,47,351,391,1689,381,5035,1167,7651
2024-06-14 03:00:00,95,45,345,391,1635,386,5089,1133,7495
2024-06-14 03:10:00,95,44,337,391,1577,392,5193,1086,7405
2024-06-14 03:20:00,92,41,320,395,1507,395,5333,1070,7302
2024-06-14 03:30:00,90,41,309,402,1430,399,5422,1045,7029
2024-06-14 03:40:00,88,42,299,407,1357,401,5570,1031,6841
2024-06-14 03:50:00,88,42,290,413,1304,409,5767,1009,6754
2024-06-14 04:00:00,88,41,283,428,1217,414,5971,1009,6559
2024-06-14 04:10:00,83,41,281,430,1159,435,6240,1009,6551
2024-06-14 04:20:00,80,42,280,441,1098,448,6603,1040,6388
2024-06-14 04:30:00,79,43,279,442,1033,458,6850,1047,6195
2024-06-14 04:40:00,79,43,280,448,977,479,6989,1068,6019
2024-06-14 04:50:00,75,45,281,454,935,498,7029,1086,5761
2024-06-14 05:00:00,70,45,289,472,899,513,7096,1120,5488
2024-06-14 05:10:00,70,45,298,473,847,538,7096,1176,5413
2024-06-14 05:20:00,64,45,301,478,794,564,7068,1218,5215
2024-06-14 05:30:00,64,45,308,493,750,583,7061,1275,4973
2024-06-14 05:40:00,63,46,319,501,701,603,7035,1357,4796
2024-06-14 05:50:00,63,47,327,519,661,629,7030,1429,4577
2024-06-14 06:00:00,57,49,335,525,642,656,7030,1509,4389
2024-06-14 06:10:00,54,52,350,537,599,692,7034,1623,4291
2024-06-14 06:20:00,51,54,358,558,567,720,7034,1746,4088
2024-06-14 06:30:00,50,56,371,566,529,733,7034,1841,3927
2024-06-14 06:40:00,45,60,378,584,504,752,7110,1945,3769
2024-06-14 06:50:00,44,60,392,596,467,779,7152,2045,3621
2024-06-14 07:00:00,40,60,412,607,447,798,7213,2155,3571
2024-06-14 07:10:00,40,61,422,609,447,828,7346,2296,3515
2024-06-14 07:20:00,39,62,440,636,443,973,7652,2526,3481
2024-06-14 07:30:00,39,63,451,642,421,973,7652,2592,3319
2024-06-14 07:40:00,39,65,468,649,374,940,7576,2636,3174
2024-06-14 07:50:00,37,65,492,655,361,940,7576,2734,3055
2024-06-14 08:00:00,37,65,509,655,345,972,7665,2861,2957
2024-06-14 08:10:00,34,65,531,650,323,988,7791,2961,2939
2024-06-14 08:20:00,32,66,551,650,316,1030,7944,3068,2875
2024-06-14 08:30:00,31,69,561,660,306,1061,8082,3168,2763
2024-06-14 08:40:00,28,70,569,667,294,1095,8155,3218,2683
2024-06-14 08:50:00,27,75,602,668,279,1117,8242,3335,2616
2024-06-14 09:00:00,27,77,616,675,272,1131,8365,3443,2599
2024-06-14 09:10:00,26,78,627,676,269,1136,8458,3524,2599
2024-06-14 09:20:00,26,79,643,676,262,1162,8621,3606,2599
2024-06-14 09:30:00,26,80,653,667,247,1168,8739,3655,2417
2024-06-14 09:40:00,25,84,665,664,247,1182,8891,3709,2323
2024-06-14 09:50:00,23,86,689,660,252,1211,9079,3807,2265
2024-06-14 10:00:00,23,90,701,654,254,1228,9314,3875,2204
2024-06-14 10:10:00,23,90,713,650,254,1229,9569,3994,2197
2024-06-14 10:20:00,23,91,725,648,259,1262,9889,4083,2153
2024-06-14 10:30:00,23,91,740,638,274,1271,10146,4162,2069
2024-06-14 10:40:00,21,93,746,638,282,1309,10308,4228,2048
2024-06-14 10:50:00,21,91,747,631,299,1315,10572,4326,2010
2024-06-14 11:00:00,22,93,760,613,326,1327,10834,4458,1991
2024-06-14 11:10:00,22,93,779,613,340,1379,11124,4524,1987
2024-06-14 11:20:00,22,95,780,610,363,1379,11392,4577,1954
2024-06-14 11:30:00,22,95,782,605,384,1346,11509,4656,1954
2024-06-14 11:40:00,22,92,784,591,403,1346,11723,4749,1950
2024-06-14 11:50:00,22,92,786,558,435,1354,11903,4863,1958
2024-06-14 12:00:00,22,105,802,556,465,1370,11981,4935,1958
2024-06-14 12:10:00,25,107,806,551,506,1375,12256,5073,2031
2024-06-14 12:20:00,26,107,811,539,531,1440,12483,5167,2071
2024-06-14 12:30:00,26,106,811,537,553,1440,12534,5240,2087
2024-06-14 12:40:00,26,106,813,517,583,1416,12623,5296,2155
2024-06-14 12:50:00,28,102,813,505,608,1416,12707,5375,2195
2024-06-14 13:00:00,30,102,821,496,641,1416,12780,5454,2285
2024-06-14 13:10:00,30,105,822,477,689,1430,12842,5584,2404
2024-06-14 13:20:00,32,106,822,456,716,1430,12925,5685,2426
2024-06-14 13:30:00,33,109,833,447,744,1430,12956,5742,2442
2024-06-14 13:40:00,34,111,833,426,774,1439,12958,5828,2491
2024-06-14 13:50:00,36,111,833,418,797,1440,12958,5881,2557
2024-06-14 14:00:00,37,111,832,406,826,1440,12937,5919,2634
2024-06-14 14:10:00,38,111,828,393,858,1440,12827,5996,2720
2024-06-14 14:20:00,39,112,828,381,870,1451,12765,6102,2795
2024-06-14 14:30:00,39,111,840,348,904,1464,12695,6180,2834
2024-06-14 14:40:00,40,111,847,343,927,1479,12422,6300,2925
2024-06-14 14:50:00,41,111,847,338,947,1500,12207,6367,2983
2024-06-14 15:00:00,42,111,837,322,980,1518,11938,6510,3058
2024-06-14 15:10:00,45,113,837,307,1010,1518,11659,6619,3200
2024-06-14 15:20:00,46,118,847,293,1075,1520,11358,6694,3254
2024-06-14 15:30:00,47,119,853,280,1106,1543,10940,6775,3314
2024-06-14 15:40:00,50,119,857,265,1107,1561,10545,6834,3366
2024-06-14 15:50:00,52,121,860,261,1119,1564,10206,6934,3535
2024-06-14 16:00:00,54,121,872,252,1152,1576,9802,6996,3600
2024-06-14 16:10:00,55,124,876,249,1187,1583,9399,7030,3728
2024-06-14 16:20:00,58,125,880,238,1215,1584,8992,7133,3804
2024-06-14 16:30:00,59,127,880,232,1225,1608,8550,7261,3903
2024-06-14 16:40:00,59,129,872,224,1231,1615,8098,7319,3942
2024-06-14 16:50:00,58,130,869,213,1252,1621,7679,7356,3965
2024-06-14 17:00:00,58,130,869,208,1258,1630,7318,7356,3985
2024-06-14 17:10:00,58,128,873,208,1279,1630,6966,7356,4112
2024-06-14 17:20:00,59,128,876,206,1293,1630,6593,7410,4209
2024-06-14 17:30:00,63,128,878,202,1312,1627,6221,7458,4255
2024-06-14 17:40:00,63,126,879,194,1328,1627,5896,7463,4286
2024-06-14 17:50:00,63,125,889,188,1336,1633,5594,7567,4337
2024-06-14 18:00:00,63,123,891,186,1360,1633,5325,7639,4365
2024-06-14 18:10:00,62,123,890,183,1363,1632,5056,7639,4402
2024-06-14 18:20:00,62,122,903,178,1381,1628,4780,7639,4502
2024-06-14 18:30:00,62,120,900,177,1381,1618,4562,7613,4559
2024-06-14 18:40:00,62,119,900,173,1379,1616,4362,7611,4581
2024-06-14 18:50:00,63,116,886,166,1375,1602,4151,7536,4617
2024-06-14 19:00:00,63,116,878,165,1379,1590,3954,7531,4730
2024-06-14 19:10:00,62,116,876,164,1401,1578,3767,7419,4816
2024-06-14 19:20:00,61,116,872,161,1404,1552,3592,7365,4862
2024-06-14 19:30:00,59,115,863,156,1412,1531,3432,7233,4889
2024-06-14 19:40:00,59,115,853,150,1413,1525,3253,7185,4989
2024-06-14 19:50:00,63,108,847,150,1447,1484,3093,7116,5039
2024-06-14 20:00:00,64,106,846,151,1491,1452,2945,7015,5071
2024-06-14 20:10:00,65,106,845,151,1535,1426,2821,6978,5179
2024-06-14 20:20:00,68,104,836,145,1553,1394,2668,6919,5244
2024-06-14 20:30:00,68,101,829,145,1584,1332,2533,6752,5344
2024-06-14 20:40:00,70,96,827,147,1615,1318,2429,6574,5414
2024-06-14 20:50:00,70,96,816,149,1670,1268,2313,6526,5477
2024-06-14 21:00:00,70,96,816,150,1681,1239,2186,6297,5600
2024-06-14 21:10:00,70,96,801,154,1728,1189,2112,6149,5704
2024-06-14 21:20:00,71,95,798,158,1769,1143,2037,6127,5800
2024-06-14 21:30:00,75,92,780,163,1814,1103,1935,5927,5867
2024-06-14 21:40:00,76,92,774,169,1868,1057,1855,5696,5897
2024-06-14 21:50:00,76,92,761,175,1921,1004,1781,5441,5969
2024-06-14 22:00:00,76,90,751,188,1974,956,1750,5214,6025
2024-06-14 22:10:00,76,89,736,201,2020,901,1699,4966,6086
2024-06-14 22:20:00,80,89,719,209,2024,860,1681,4745,6138
